Rank,Previous Rank,Player,Position,Team,Price,Shirt points,Shirt count,Sprint points,Sprint count,Climb points,Climb count,Placement points,Placement count,Bought,Sold,Points
49,49,Oliver Naesen,support,AG2R La Mondiale,6.5,0.00,0,0.00,0,0.00,0,96.00,4,421,750,96.00
50,50,Nils Politt,tempo,Israel Start-Up Nation,6.3,0.00,0,60.00,1,18.00,2,15.00,4,318,434,93.00
51,51,Wout Van Aert,support,Team Jumbo - Visma,8.2,0.00,0,0.00,0,12.00,1,40.00,4,2496,2914,92.00
51,51,Tiesj Benoot,support,Team Sunweb,6.8,0.00,0,60.00,1,0.00,0,32.00,4,1574,1554,92.00
51,51,Daniel Oss,support,BORA - Hansgrohe,4.3,0.00,0,60.00,2,0.00,0,32.00,4,668,969,92.00
54,54,Egan Bernal,captain,Team INEOS,11.5,0.00,0,0.00,0,0.00,0,88.00,4,820,1479,88.00
54,54,Elia Viviani,sprinter,Cofidis -  Solutions Crédits,10.5,0.00,0,6.00,1,0.00,0,82.00,4,378,1122,88.00
56,56,Niccolò Bonifazio,sprinter,Team Total Direct Energie,8.6,0.00,0,38.00,3,0.00,0,48.00,4,63,288,86.00
57,57,Jan Polanc,support,UAE Team Emirates,5.4,0.00,0,0.00,0,0.00,0,40.00,4,50,115,80.00
58,58,Alexis Vuillermoz,support,AG2R La Mondiale,5.5,0.00,0,44.00,1,0.00,0,32.00,4,190,336,76.00
58,58,Vegard Stake Laengen,support,UAE Team Emirates,3.6,0.00,0,0.00,0,0.00,0,36.00,4,607,722,76.00
60,60,Luka Mezgec,sprinter,Mitchelton - Scott,7.2,0.00,0,14.00,1,0.00,0,60.00,4,304,347,74.00
61,61,Nicolas Roche,climber,Team Sunweb,5.8,0.00,0,0.00,0,45.00,1,27.00,4,1519,1324,72.00
61,61,Lukas Pöstlberger,support,BORA - Hansgrohe,4.8,0.00,0,32.00,1,24.00,2,16.00,4,123,124,72.00
61,61,Hugo Houle,support,Astana Pro Team,4,0.00,0,0.00,0,0.00,0,72.00,4,51,35,72.00
61,61,Jonas Koch,support,CCC Team,3.6,0.00,0,0.00,0,0.00,0,72.00,4,106,112,72.00
65,65,Thibaut Pinot,captain,Groupama - FDJ,11.3,0.00,0,0.00,0,0.00,0,68.00,4,613,1057,68.00
65,65,Amund Grøndahl Jansen,support,Team Jumbo - Visma,4.8,0.00,0,0.00,0,0.00,0,28.00,4,398,799,68.00
67,67,Sepp Kuss,climber,Team Jumbo - Visma,7.7,0.00,0,0.00,0,0.00,0,36.00,4,805,924,66.00
67,67,Davide Formolo,climber,UAE Team Emirates,7.3,0.00,0,0.00,0,0.00,0,36.00,4,614,569,66.00
67,67,Damiano Caruso,climber,Bahrain McLaren,6,0.00,0,9.00,1,0.00,0,57.00,4,572,460,66.00
70,70,Jasper De Buyst,support,Lotto Soudal,5.4,0.00,0,0.00,0,0.00,0,24.00,4,109,202,64.00
70,70,Dries Devenyns,support,Deceuninck - Quick Step,4.8,0.00,0,0.00,0,0.00,0,24.00,4,74,107,64.00
70,70,Rémi Cavagna,support,Deceuninck - Quick Step,4.6,0.00,0,8.00,1,0.00,0,16.00,4,181,128,64.00
70,70,Jack Bauer,support,Mitchelton - Scott,3.9,0.00,0,0.00,0,0.00,0,64.00,4,338,332,64.00
70,70,Marco Marcato,support,UAE Team Emirates,3.5,0.00,0,0.00,0,0.00,0,24.00,4,175,254,64.00
75,75,Mathieu Burgaudeau,climber,Team Total Direct Energie,4.5,0.00,0,51.00,1,0.00,0,12.00,4,2108,1394,63.00
76,76,Mikel Landa,captain,Bahrain McLaren,9,0.00,0,0.00,0,0.00,0,60.00,4,1458,1656,60.00
76,76,Mitchelton - Scott,manager,Mitchelton - Scott,8.7,0.00,0,0.00,0,0.00,0,60.00,1,433,363,60.00
76,76, Cofidis -  Solutions Crédits,manager,Cofidis -  Solutions Crédits,8.5,0.00,0,0.00,0,0.00,0,60.00,1,208,339,60.00
76,76,NTT Pro Cycling,manager,NTT Pro Cycling,8,0.00,0,0.00,0,0.00,0,60.00,1,265,263,60.00
76,76,Fabio Aru,climber,UAE Team Emirates,7.2,0.00,0,0.00,0,0.00,0,30.00,4,284,609,60.00
76,76,David De La Cruz,support,UAE Team Emirates,5.5,0.00,0,0.00,0,0.00,0,20.00,4,898,1106,60.00
76,76,Roger Kluge,support,Lotto Soudal,5.2,0.00,0,0.00,0,0.00,0,20.00,4,29,97,60.00
83,83,Steff Cras,youth,Lotto Soudal,5,0.00,0,0.00,0,0.00,0,16.00,4,593,967,56.00
83,83,Tim Declercq,support,Deceuninck - Quick Step,4.3,0.00,0,0.00,0,0.00,0,16.00,4,217,283,56.00
83,83,Frederik Frison,support,Lotto Soudal,4.1,0.00,0,0.00,0,0.00,0,16.00,4,149,175,56.00
86,86,George Bennett,climber,Team Jumbo - Visma,7.8,0.00,0,0.00,0,0.00,0,24.00,4,218,585,54.00
87,87,Alejandro Valverde,climber,Movistar Team,7.6,0.00,0,0.00,0,0.00,0,48.00,4,857,1157,48.00
87,87,Enric Mas,youth,Movistar Team,7,0.00,0,0.00,0,0.00,0,48.00,4,582,1731,48.00
87,87,Thomas De Gendt,tempo,Lotto Soudal,6.9,0.00,0,0.00,0,0.00,0,18.00,4,3356,1772,48.00
87,87,Bob Jungels,tempo,Deceuninck - Quick Step,6.6,0.00,0,0.00,0,0.00,0,18.00,4,346,461,48.00
87,87,Tony Martin,tempo,Team Jumbo - Visma,5.8,0.00,0,0.00,0,0.00,0,18.00,4,401,692,48.00
87,87,Max Walsheid,support,NTT Pro Cycling,5.2,0.00,0,28.00,2,0.00,0,20.00,4,64,130,48.00
87,87,Christopher Juul-Jensen,support,Mitchelton - Scott,3.4,0.00,0,24.00,1,0.00,0,24.00,4,1375,1865,48.00
94,94,Pierre Latour,climber,AG2R La Mondiale,7.6,0.00,0,0.00,0,0.00,0,45.00,4,136,366,45.00
95,95,Daniel Felipe Martínez,youth,EF Pro Cycling,8.2,0.00,0,0.00,0,0.00,0,44.00,4,951,1618,44.00
95,95,Gregor Mühlberger,support,BORA - Hansgrohe,5.5,0.00,0,8.00,1,0.00,0,36.00,4,137,279,44.00
95,95,Nicolas Edet,support,Cofidis -  Solutions Crédits,4.8,0.00,0,16.00,1,0.00,0,28.00,4,270,189,44.00
98,98,BORA - Hansgrohe,manager,BORA - Hansgrohe,9.5,0.00,0,0.00,0,0.00,0,40.00,2,1959,2540,40.00
98,98,Team Arkéa Samsic,manager,Team Arkéa Samsic,8.5,0.00,0,0.00,0,0.00,0,40.00,1,40,89,40.00
98,98,Israel Start-Up Nation,manager,Israel Start-Up Nation,8,0.00,0,0.00,0,0.00,0,40.00,1,36,96,40.00
98,98,CCC Team,manager,CCC Team,8,0.00,0,0.00,0,0.00,0,40.00,1,392,316,40.00
98,98,Connor Swift,youth,Team Arkéa Samsic,4.5,0.00,0,0.00,0,0.00,0,40.00,4,1799,1991,40.00
103,103,Marc Soler,climber,Movistar Team,6.4,0.00,0,0.00,0,0.00,0,39.00,4,170,249,39.00
104,104,Clément Venturini,sprinter,AG2R La Mondiale,7,0.00,0,0.00,0,0.00,0,38.00,4,188,273,38.00
104,104,Tom Van Asbroeck,sprinter,Israel Start-Up Nation,6.5,0.00,0,0.00,0,0.00,0,38.00,4,209,386,38.00
106,106,Luis León Sanchez,support,Astana Pro Team,6,0.00,0,0.00,0,0.00,0,36.00,4,271,661,36.00
106,106,Geoffrey Soupe,support,Team Total Direct Energie,4,0.00,0,16.00,1,0.00,0,20.00,4,58,77,36.00
108,108,Richard Carapaz,climber,Team INEOS,8,0.00,0,0.00,0,0.00,0,33.00,4,397,583,33.00
109,109,Omar Fraile,support,Astana Pro Team,5.8,0.00,0,0.00,0,0.00,0,32.00,4,198,483,32.00
109,109,Clément Russo,support,Team Arkéa Samsic,4.8,0.00,0,0.00,0,0.00,0,32.00,4,39,48,32.00
109,109,Neilson Powless,youth,EF Pro Cycling,4.5,0.00,0,0.00,0,0.00,0,32.00,4,314,341,32.00
109,109,Mikaël Cherel,support,AG2R La Mondiale,3.6,0.00,0,0.00,0,0.00,0,32.00,4,102,109,32.00
113,113,Richie Porte,captain,Trek - Segafredo,10.2,0.00,0,0.00,0,0.00,0,30.00,4,129,420,30.00
113,113,Rigoberto Uran,captain,EF Pro Cycling,9.3,0.00,0,0.00,0,0.00,0,30.00,4,287,540,30.00
113,113,Michal Kwiatkowski,tempo,Team INEOS,6.9,0.00,0,3.00,1,0.00,0,27.00,4,239,524,30.00
113,113,Hugh Carthy,tempo,EF Pro Cycling,5.8,0.00,0,0.00,0,0.00,0,30.00,4,120,96,30.00
117,117,Romain Bardet,captain,AG2R La Mondiale,9.6,0.00,0,0.00,0,0.00,0,28.00,4,751,960,28.00
117,117,David Gaudu,youth,Groupama - FDJ,7.2,0.00,0,0.00,0,0.00,0,28.00,4,174,676,28.00
117,117,Rudy Molard,support,Groupama - FDJ,5.8,0.00,0,0.00,0,0.00,0,28.00,4,97,382,28.00
117,117,Valentin Madouas,youth,Groupama - FDJ,5.6,0.00,0,0.00,0,0.00,0,28.00,4,181,536,28.00
117,117,Jens Debusschere,support,B&B Hotels - Vital Concept p/b KTM,5.5,0.00,0,0.00,0,0.00,0,28.00,4,41,152,28.00
117,117,Simon Geschke,support,CCC Team,5.2,0.00,0,0.00,0,0.00,0,28.00,4,192,282,28.00
117,117,Niklas Eg,youth,Trek - Segafredo,5,0.00,0,0.00,0,0.00,0,28.00,4,227,544,28.00
